Person_id|Place_id
190364|879
190365|463
190367|785
190373|441
190374|1247
190388|314
190390|934
190394|393
190404|391
190420|1420
190429|1039
190433|1396
190437|939
190438|347
190439|1082
190441|482
190444|1342
190449|112
190454|1252
190489|912
190495|1288
190502|790
190503|1433
190505|216
190506|571
190517|589
190534|484
190540|922
190541|890
190542|936
190545|353
190558|401
190561|1219
190564|634
190573|376
190584|314
190591|1011
190595|276
190603|478
190609|964
190624|367
190628|276
190641|465
190642|466
190643|179
190644|324
190646|291
190649|1432
190650|1101
190665|346
190674|413
190679|536
190680|1194
190686|338
190698|1041
190703|451
190721|407
190728|1208
190729|259
190734|276
190737|1194
190740|223
190741|1394
190742|488
190751|414
190759|1321
190762|484
190767|422
190769|1182
190772|1032
190775|403
190779|625
190781|427
190784|338
190786|1194
190793|475
190798|1342
190803|1011
190812|388
190815|393
190823|1321
190826|1347
190827|270
190828|460
190830|1326
190831|879
190846|323
190852|1042
190854|1088
190856|164
190865|432
190867|366
190870|290
190871|443
190875|667
190879|308
190880|980
190883|399
190884|1195
190890|1040
190895|1226
190896|1342
190897|463
190907|432
190908|592
190915|779
190919|1047
190926|1194
190929|1264
190930|451
190943|347
190949|936
190961|461
190977|1053
190984|1264
190985|633
190986|394
190991|880
190999|1066
191000|1348
191015|964
191022|488
191024|424
191029|188
191030|388
191031|883
191037|357
191041|1145
191059|1449
191069|164
191073|281
191076|194
191083|227
191092|422
191094|401
191107|1185
191108|1173
191109|1011
191110|715
191111|311
191112|1056
191129|959
191130|365
191133|912
191138|392
191159|381
191185|986
191189|242
191209|1106
191210|1008
191211|1260
191214|913
191245|913
191246|1143
191247|350
191254|1194
191272|984
191276|573
191281|1029
191291|391
191298|1393
191300|366
191308|341
191309|1146
191314|934
191315|1054
191318|392
191319|444
191325|368
191326|357
191328|1435
191329|933
191331|288
191342|1063
191356|867
191362|471
191364|1094
191368|1182
191372|381
191376|994
191391|1396
191392|883
191405|217
191411|1029
191413|1091
191417|1082
191420|424
191435|471
191440|979
191442|1342
191456|1407
191462|883
191485|862
191495|685
191497|1393
191498|482
191505|405
191506|311
191507|946
191508|933
191511|1110
191514|1110
191516|729
191522|157
191528|313
191536|1091
191543|1219
191550|632
191558|649
191575|832
191578|213
191579|840
191581|334
191584|1041
191587|1052
191588|394
191589|986
191591|939
191596|1342
191609|860
191614|1040
191615|504
191619|1240
191622|1011
191624|405
191627|492
191628|1448
191634|1047
191636|239
191637|614
191645|229
191646|653
191651|631
191655|563
191667|198
191669|187
191675|450
191676|483
191683|1011
191687|1082
191689|170
191692|1082
191694|124
191696|439
191700|1226
191704|399
191706|1039
191707|313
191708|303
191714|1068
191718|725
191719|611
191721|158
191728|753
191731|883
191733|1358
191740|1430
191741|160
191744|111
191747|1319
191750|833
191761|1202
191763|320
191768|1110
191771|353
191786|270
191787|504
191789|946
191799|521
191808|1265
191810|260
191813|777
191814|354
191828|1380
191830|1011
191831|346
191834|751
191836|1319
191838|1004
191841|925
191842|1042
191847|461
191855|756
191868|1194
191872|948
191880|1003
191881|473
