Person_id|Organisation_id|workFrom
190423|16291|0
190423|15816|0
190423|15818|0
190483|15816|0
190483|15818|0
190577|15813|0
190577|15815|0
190577|15816|0
190611|16689|0
190611|16706|0
190611|16677|0
190611|16682|0
190611|16700|0
190696|15815|0
190696|15818|0
190717|15815|0
190981|16674|0
190981|16680|0
190981|16699|0
191006|15814|0
191006|15817|0
191006|15818|0
191206|15816|0
191206|15817|0
191206|15818|0
191322|16674|0
191322|16710|0
191322|16700|0
191389|16691|0
191389|16697|0
191389|16699|0
191481|16690|0
191481|16678|0
191481|16710|0
191481|16695|0
191481|16681|0
191600|16689|0
191600|16695|0
191644|15814|0
191644|15816|0
191644|15818|0
191873|15813|0
191873|15817|0
