Forum_id|Post_id
1524|192538
1524|192539
1524|192540
1524|192541
1524|192542
1524|192543
1524|192544
1524|192545
1524|192546
1524|192547
1524|192548
1524|192549
1524|192550
1524|192551
1524|192552
1524|192553
1524|192554
1531|192608
1531|192609
1531|192610
1531|192611
1531|192612
1531|192613
1531|192614
1531|192615
1531|192616
1531|192617
1531|192618
1531|192619
1531|192620
1531|192621
1531|192622
1531|192623
1531|192624
1600|193253
1600|193254
1600|193255
1600|193256
1600|193257
1600|193258
1600|193259
1600|193260
1600|193261
1600|193262
1600|193263
1600|193264
1600|193265
1600|193266
1600|193267
1600|193268
1755|194605
1755|194606
1755|194607
1755|194608
1755|194609
1755|194610
1755|194611
1755|194612
1755|194613
1755|194614
1755|194615
1755|194616
1755|194617
1755|194618
1755|194619
1755|194620
1755|194621
1755|194622
1763|194684
1763|194685
1763|194686
1763|194687
1763|194688
1763|194689
1763|194690
1763|194691
1763|194692
1763|194693
1763|194694
1763|194695
1763|194696
1763|194697
1763|194698
1763|194699
1763|194700
1763|194701
1763|194702
1763|194703
1763|194704
1763|194705
1763|194706
1775|194841
1775|194842
1775|194843
1775|194844
1775|194845
1775|194846
1775|194847
1775|194848
1775|194849
1775|194850
1775|194851
1775|194852
1775|194853
1775|194854
1775|194855
1775|194856
1775|194857
1775|194858
1778|194880
1778|194881
1778|194882
1778|194883
1778|194884
1778|194885
1778|194886
1778|194887
1778|194888
1778|194889
1778|194890
1778|194891
1778|194892
1778|194893
1778|194894
1778|194895
1778|194896
1778|194897
1781|194914
1781|194915
1781|194916
1781|194917
1781|194918
1781|194919
1781|194920
1781|194921
1781|194922
1781|194923
1781|194924
1781|194925
1781|194926
1781|194927
1781|194928
1781|194929
1781|194930
1781|194931
1845|195650
1845|195651
1845|195652
1845|195653
1845|195654
1845|195655
1845|195656
1845|195657
1845|195658
1845|195659
1845|195660
1845|195661
1845|195662
1845|195663
1845|195664
1845|195665
1845|195666
1845|195667
1846|195668
1846|195669
1846|195670
1846|195671
1846|195672
1846|195673
1846|195674
1846|195675
1846|195676
1846|195677
1846|195678
1846|195679
1846|195680
1846|195681
1846|195682
1846|195683
1846|195684
1846|195685
1911|196351
1911|196352
1911|196353
1911|196354
1911|196355
1911|196356
1911|196357
1911|196358
1911|196359
1911|196360
1911|196361
1911|196362
1911|196363
1911|196364
1911|196365
1911|196366
1911|196367
1911|196368
1911|196369
1911|196370
1911|196371
1911|196372
1911|196373
1921|196430
1921|196431
1921|196432
1921|196433
1921|196434
1921|196435
1921|196436
1921|196437
1921|196438
1921|196439
1921|196440
1921|196441
1921|196442
1921|196443
1921|196444
1921|196445
1921|196446
1921|196447
1951|196757
1951|196758
1951|196759
1951|196760
1951|196761
1951|196762
1951|196763
1951|196764
1951|196765
1951|196766
1951|196767
1951|196768
1951|196769
1951|196770
1951|196771
1951|196772
1951|196773
1956|196814
1956|196815
1956|196816
1956|196817
1956|196818
1956|196819
1956|196820
1956|196821
1956|196822
1956|196823
1956|196824
1956|196825
